# time in us, voltage in volts
238.99371069182462, 33.21540062434964
251.57232704402531, 29.09469302809574
276.7295597484281, 25.411030176899068
298.74213836478066, 22.070759625390224
320.7547169811328, 19.510926118626436
339.6226415094343, 17.107180020811654
361.6352201257873, 14.797086368366259
380.5031446540884, 13.11134235171697
399.37106918239033, 11.238293444328807
421.3836477987429, 9.802289281997915
440.2515723270444, 8.553590010405834
462.264150943397, 7.710718002081165
484.27672955974776, 6.930280957336109
500.00000000000045, 5.806451612903231
578.616352201258, 3.558792924037462
679.2452830188695, 1.8730489073881387
861.6352201257864, 0.749219562955254
1022.0125786163526, 0.4682622268470382
